2020092216201016 UPDATE 8712352FLOODkkkMB196504126473211456LM62M23222
2020092315102910 UPDATE 9012351FLOOD123MB196504126473211456LM62M13222
2020092315124527 UPDATE 9012351FLOOD123MB196504126473212556LM62M13222
2020092315124528 UPDATE 8912353GORMAN  WJ196902116475000993LM51M13654
2020092315124529 INSERT 9912353ALVIANDAWJ196602156477990993LM51M33213
2020092315152659 UPDATE 9012351FLOOD123MB196504126473211456LM62M09222
2020092315152660 UPDATE 8912353GORMAN  WJ196504126473211456LM62M10200
2020092315152660 INSERT 9912353ALVIANDAWJ196602156477990993LM51M33213
2020092320215369 UPDATE 9012353JONES   VT196807266473221234LM51M26453
2020092320215371 INSERT 9700234InsertE IA19531223LM60M290765453319231
2020092320223462 UPDATE 9012353JONES   VT196807266473221234LM51M16453
2020092320223462 INSERT 9770234InsertD IA19531223LM60M290765453319231
2020092320251390 UPDATE 8912355RYAN    GN196709174163332112LM60M15555
2020092320270794 UPDATE 8912357COFFEY  SD196311212895554321LM51M10001
2020092320270796 INSERT 8912355RYAN    GN196709174163332112LM60M15555
2020092320272519 UPDATE 8912357COFFEY  SD196311212895554321LM51M10001
2020092320272520 INSERT 8912355RYAN    GN196709174163332112LM60M15555
2020092320285322 UPDATE 8912357COFFEY  SD196311212895554321LM51M10001
2020092320285323 INSERT 8912355RYAN    GN196709174163332112LM60M15555
2020092408393441 2020092408393441 LEY  FL196903144163214765LM50F16432
2020092408455128 2020092408455128 LEY  FL196903144163214765LM50F16432
2020092408455131 2020092408455131 ertA IA19531223LM60M290765453319231
2020092408455132 2020092408455132 ertB IB19631009LM51F647321412311234
2020092408455134 2020092408455134 ertC IC19570723LM53F905001000225432
2020092408455136 2020092408455136 ateA UA19520418LM60F905123432107654
2020092408455138 2020092408455138 ertD ID19591230LM53F289647112213321
2020092408455140 2020092408455140 ateB UB19731118LM58F905888989812345
2020092408455142 2020092408455142 ateC UC19570723LM58F416222333318654
2020092408455143 2020092408455143 ertE IE19670304LM59F416897654307868
2020092408564025 2020092408564025 LEY  FL196903144163214765LM50F16432
2020092408564027 2020092408564027 ertA IA19531223LM60M290765453319231
2020092408564028 2020092408564028 ertB IB19631009LM51F647321412311234
2020092408564030 2020092408564030 ertC IC19570723LM53F905001000225432
2020092408564032 2020092408564032 ateA UA19520418LM60F905123432107654
2020092408564033 2020092408564033 ertD ID19591230LM53F289647112213321
2020092408564035 2020092408564035 ateB UB19731118LM58F905888989812345
2020092408564036 2020092408564036 ateC UC19570723LM58F416222333318654
2020092408564038 2020092408564038 ertE IE19670304LM59F416897654307868
2020092408583510 2020092408583510 LEY  FL196903144163214765LM50F16432
2020092408583512 2020092408583512 ertA IA19531223LM60M290765453319231
2020092408583514 2020092408583514 ertB IB19631009LM51F647321412311234
2020092408583516 2020092408583516 ertC IC19570723LM53F905001000225432
2020092408583519 2020092408583519 ateA UA19520418LM60F905123432107654
2020092408583521 2020092408583521 ertD ID19591230LM53F289647112213321
2020092408583522 2020092408583522 ateB UB19731118LM58F905888989812345
2020092408583524 2020092408583524 ateC UC19570723LM58F416222333318654
2020092408583525 2020092408583525 ertE IE19670304LM59F416897654307868
2020092408584753 2020092408584753 LEY  FL196903144163214765LM50F16432
2020092408584755 2020092408584755 ertA IA19531223LM60M290765453319231
2020092408584757 2020092408584757 ertB IB19631009LM51F647321412311234
2020092408584759 2020092408584759 ertC IC19570723LM53F905001000225432
2020092408584761 2020092408584761 ateA UA19520418LM60F905123432107654
2020092408584763 2020092408584763 ertD ID19591230LM53F289647112213321
2020092408584765 2020092408584765 ateB UB19731118LM58F905888989812345
2020092408584766 2020092408584766 ateC UC19570723LM58F416222333318654
2020092408584768 2020092408584768 ertE IE19670304LM59F416897654307868
2020092409005881 2020092409005881 LEY  FL196903144163214765LM50F16432
2020092409005884 2020092409005884 ertA IA19531223LM60M290765453319231
2020092409005886 2020092409005886 ertB IB19631009LM51F647321412311234
2020092409005888 2020092409005888 ertC IC19570723LM53F905001000225432
2020092409005890 2020092409005890 ateA UA19520418LM60F905123432107654
2020092409005892 2020092409005892 ertD ID19591230LM53F289647112213321
2020092409005894 2020092409005894 ateB UB19731118LM58F905888989812345
2020092409005895 2020092409005895 ateC UC19570723LM58F416222333318654
2020092409005897 2020092409005897 ertE IE19670304LM59F416897654307868
2020092409351398 2020092409351398 LEY  FL196903144163214765LM50F16432
2020092409351400 2020092409351400 ertA IA19531223LM60M290765453319231
2020092409351403 2020092409351403 ertB IB19631009LM51F647321412311234
2020092409351405 2020092409351405 ertC IC19570723LM53F905001000225432
2020092409351407 2020092409351407 ateA UA19520418LM60F905123432107654
2020092409351409 2020092409351409 ertD ID19591230LM53F289647112213321
2020092409351411 2020092409351411 ateB UB19731118LM58F905888989812345
2020092409351412 2020092409351412 ateC UC19570723LM58F416222333318654
2020092409351414 2020092409351414 ertE IE19670304LM59F416897654307868
2020092409550935 2020092409550935 LEY  FL196903144163214765LM50F16432
2020092409550937 2020092409550937 ertA IA19531223LM60M290765453319231
2020092409550939 2020092409550939 ertB IB19631009LM51F647321412311234
2020092409550941 2020092409550941 ertC IC19570723LM53F905001000225432
2020092409550943 2020092409550943 ateA UA19520418LM60F905123432107654
2020092409550945 2020092409550945 ertD ID19591230LM53F289647112213321
2020092409550947 2020092409550947 ateB UB19731118LM58F905888989812345
2020092409550949 2020092409550949 ateC UC19570723LM58F416222333318654
2020092409550951 2020092409550951 ertE IE19670304LM59F416897654307868
