8712351SMITH   MS196710129058765432LM51F12345
8712352FLOODkkkMB196504126473211456LM62M23222
8712352POWER   TG196812194164321234LM51M22341
8712353SWEENEY ST196909054169874567LM52M34211
8712354WALSH   SM197003134160762345LM60M67542
8712355WILLIAMSTJ196501289056542345LM51M23123
8712356TANSEY  MT196612124162343214LM51F09786
8712357O'BRIEN AS196812256478889999LM60F11987
8712358WILSON  HA196404146473332345LM52M11234
8712359CAHILL  MB196710236479875678LM51F45234
8812355DUBRANT FL196311304162323211LM52M34123
8812356MACKEY  TD196909184161234321LM60M17567
8812357BOBBIN  WE197012069056664444LM51F78988
8812358DALEY   FR196403169057774321LM60F12345
8812359SWINDON GL196502279056541234LM45M45432
8912351DEWEY   AS196305159058889999LM51F12123
8912352RICHARDSTR196810076472121323LM53F11234
8912353GORMAN  WJ196902116475000993LM51M10654
8912354FAHY    ML196912032898150307LM51M05678
8912355RYAN    GN196709174163332112LM60M00543
8912356CORKERY DF196408229054321444LM51F34123
8912357COFFEY  SD196311212895554321LM51M15234
8912358FORD    LM196710096478994444LM60M08456
8912359GRANT   HS196407032894321555LM51F45123
9012351FLOODkkkMB196504126473211456LM62M23222
9012351FLOOD   MB196504126473211456LM62M47222
9012352HUBERT  TJ196811142897778888LM60M18567
9012353JONES   VT196807264159995432LM51M26453
9012354KINGSTONDR196704182893332244LM60F28456
9012355LANGAN  RR196901286478887654LM51F29677
9012356MORGAN  WR197009104162030178LM51M34123
9012357MANLEY  FL196903144163214456LM50F56432
9012358NORMAN  LK196504239058478709LM51M55432
9012359OTTERMANFD196710032893332121LM62F43111
